Number,Longitude,Latitude
1,-73.66202322,45.42869227
2,-73.56996486,45.52728298
3,-73.57249476,45.53348135
4,-73.5499612,45.56295401
5,-73.61670854,45.5227276
6,-73.61180671,45.52322746
7,-73.61371283,45.52262263
8,-73.60819362,45.52158417
9,-73.6086283,45.52130487
10,-73.60903652,45.52055754
11,-73.61030032,45.51881065
12,-73.59674301,45.51767121
13,-73.59784462,45.51811114
14,-73.58429676,45.59155745
15,-73.59388069,45.58213774
16,-73.58416511,45.58064263
17,-73.58370548,45.58180377
18,-73.59588745,45.5866533
19,-73.59287321,45.58504503
20,-73.60458454,45.59101881
21,-73.61170863,45.58359748
22,-73.58301209,45.58954284
23,-73.58403669,45.58907414
24,-73.60251246,45.44533646
25,-73.6015248,45.53603275
26,-73.60262778,45.53700359
27,-73.57501218,45.54910087
28,-73.60499815,45.53790127
29,-73.61366851,45.53872981
30,-73.56887846,45.50778409
31,-73.60098404,45.49859984
32,-73.5943612,45.50170099
33,-73.59549382,45.57363308
34,-73.59741429,45.59509241
35,-73.60017924,45.53540408
36,-73.59794392,45.53110474
37,-73.62921359,45.42133729
38,-73.61162788,45.52340753
39,-73.55504131,45.55730072
40,-73.59232084,45.58422664
41,-73.5836912,45.58940736
42,-73.6007156,45.52739499
43,-73.59405566,45.50266408
44,-73.56573542,45.52326327
45,-73.56256977,45.49676466
46,-73.56461803,45.49766336
47,-73.61200808,45.5408461
48,-73.59757634,45.51840835
49,-73.59850925,45.5175707
50,-73.57208787,45.58570798
51,-73.59199297,45.5718093
52,-73.59803771,45.58505871
53,-73.60416506,45.57901547
54,-73.58875767,45.59204002
55,-73.60602235,45.56506637
56,-73.58567366,45.47711503
57,-73.5753445,45.5485337
58,-73.65839022,45.56000527
59,-73.55821426,45.56171758
60,-73.59668391,45.46871696
61,-73.71578959,45.43832217
62,-73.69344851,45.43277734
63,-73.69135977,45.4340963
64,-73.69062621,45.43330153
65,-73.68856219,45.43393627
66,-73.68602843,45.43397813
67,-73.68397358,45.43294544
68,-73.68077469,45.43362632
69,-73.68037337,45.43329901
70,-73.67415096,45.43165719
71,-73.67237175,45.42850865
72,-73.66627012,45.42947361
73,-73.66713791,45.43798327
74,-73.66978668,45.43590194
75,-73.67136364,45.43726669
77,-73.67655674,45.43630628
78,-73.67851604,45.43593012
79,-73.67122629,45.43420619
80,-73.6730739,45.43434236
81,-73.67679779,45.43439794
82,-73.67507844,45.43541374
83,-73.67407659,45.43534391
84,-73.68190642,45.44010256
